Product,Start,Finish,Machine,MachineType,ProductType
CSS-1,1970-01-02,1970-01-06,FBU-1,Machine1,Product1
CSS-2,1970-01-02,1970-01-06,FBU-2,Machine1,Product1
CSS-3,1970-01-02,1970-01-06,FBU-3,Machine1,Product1
CSS-4,1970-01-02,1970-01-06,FBU-4,Machine1,Product1
CSS-1,1970-01-06,1970-01-10,Slik-1,Machine2,Product1
CSS-2,1970-01-06,1970-01-10,Slik-2,Machine2,Product1
CSS-3,1970-01-06,1970-01-10,Slik-3,Machine2,Product1
CSS-4,1970-01-06,1970-01-10,Slik-4,Machine2,Product1
CSS-1,1970-01-10,1970-01-14,CTU-1,Machine3,Product1
CSS-2,1970-01-10,1970-01-14,CTU-2,Machine3,Product1
CSS-3,1970-01-10,1970-01-14,CTU-3,Machine3,Product1
CSS-4,1970-01-10,1970-01-14,CTU-4,Machine3,Product1
CSS-1,1970-01-14,1970-01-15,Drill-1,Machine4,Product1
CSS-2,1970-01-14,1970-01-15,Drill-2,Machine4,Product1
CSS-3,1970-01-14,1970-01-15,Drill-3,Machine4,Product1
CSS-4,1970-01-14,1970-01-15,Drill-4,Machine4,Product1
CSS-1,1970-01-01,1970-01-02,Maintenance-1,Machine5,Product1
CSS-2,1970-01-01,1970-01-02,Maintenance-2,Machine5,Product1
CSS-3,1970-01-01,1970-01-02,Maintenance-3,Machine5,Product1
CSS-4,1970-01-01,1970-01-02,Maintenance-4,Machine5,Product1
Fixback-1,1970-01-06,1970-01-10,FBU-1,Machine1,Product2
Fixback-1,1970-01-10,1970-01-11,Maintenance-1,Machine5,Product2
Fixback-2,1970-01-06,1970-01-10,FBU-2,Machine1,Product2
Fixback-2,1970-01-10,1970-01-11,Maintenance-2,Machine5,Product2
Fixback-3,1970-01-06,1970-01-10,FBU-3,Machine1,Product2
Fixback-3,1970-01-10,1970-01-11,Maintenance-3,Machine5,Product2
Fixback-4,1970-01-06,1970-01-10,FBU-4,Machine1,Product2
Fixback-4,1970-01-10,1970-01-11,Maintenance-4,Machine5,Product2
